ID,Question Text,Question Answer,Reference Document,Paragraph(s) Number,Keywords
Q635,"What does PHE stand for, and is it explained in the TG?",Public Health Events,TG Booklet 6,106,Public Health Events
Q1083,Who is involved in the process of capturing and responding to alerts in event-based surveillance?,"Health workers, key informants in the community, and media monitoring personnel are involved in capturing and responding to alerts.",TG Booklet 1,"89, 92","Capturing Alerts, Responding To Alerts, Health Workers, Community Informants, Media Monitoring Personnel"
Q1113,When is IDSR tailored to emergency contexts?,"IDSR is tailored to emergency contexts during humanitarian crises to provide rapid assessment, gap analysis, prioritization, and development of a plan of action.",TG Booklet 5,28-32,"IDSR Tailoring, Emergency Contexts, Humanitarian Crises, Rapid Assessment, Gap Analysis, Prioritization, Plan Of Action"
Q43,What registers are used in Malawi to record cases?,The registers used in Malawi are: the Out-Patient department (OPD) or In-Patient Department (IPD) registers.,TG Booklet 2,169,"Registers In Malawi, Out-patient Department (OPD) Registers, In-patient Department (IPD) Registers"
Q1012,What is the primary goal of perinatal deaths surveillance?,"The primary goal is to eliminate preventable stillbirths and neonatal deaths by actively identifying and reporting cases at community and facility levels, assessing the magnitude, and identifying causes and contributing factors.",TG Booklet 6,246,"Perinatal Deaths Surveillance, Goal, Preventable Stillbirths, Neonatal Deaths, Identification, Reporting, Magnitude, Causes, Factors"
Q410,Contrast specific control measures with non-specific control measures in outbreak settings. How do they differ in their applications and effectiveness?,"Control measures should target specific agents, sources, or reservoirs of infection. Non-specific control measures can be put into place regardless of the type of disease or source.",TG Booklet 3,"376, 378","Specific Control Measures, Non-specific Control Measures, Outbreak Settings, Applications, Effectiveness, Targeted Response"
Q220,Who is responsible for communicating the thresholds for priority diseases to reporting sites in the health system?,The national level is responsible for communicating the thresholds for priority diseases to all reporting sites in the health system.,TG Booklet 2,"889, 890","National Level, Communication, Thresholds, Priority Diseases, Reporting Sites, Health System"
Q775,"Why is early detection crucial for both Chikungunya and Bacterial Meningitis, and what are the differences in their surveillance goals?","Early detection is crucial to promptly initiate treatment, prevent complications, and control outbreaks. Chikungunya aims to detect sporadic cases and outbreaks early for laboratory verification, while Bacterial Meningitis focuses on detecting outbreaks, confirming etiology, planning treatment, and assessing control measures through surveillance.",TG Booklet 6,"154, 142",Early Detection: Chikungunya Vs. Bacterial Meningitis
Q309,What steps does Section 4.1.6 recommend for finalizing forms and methods for collecting information and specimens?,"Section 4.1.6 recommends selecting variables needed for identification and analysis of the disease, reviewing how to record case information, fill request forms, label laboratory samples, prepare an epidemic curve, construct a spot map, and develop analysis tables. It also mentions case investigation forms with key variables in Annex 4E.",TG Booklet 3,261-266,"Forms, Methods, Information Collection, Specimens, Variables, Case Recording, Sample Labeling, Epidemic Curve, Spot Map, Analysis Tables, Annex 4E"
Q44,How many steps does EBS system have?,The EBS has 5 steps.,TG Booklet 2,178 - 184,"EBS System, Steps, Establish EBS Hotlines, Detect Rumors And Alerts, Register Alerts, Conduct Tracing, Risk Assessment, Verification"
Q1145,Which systems constitute the epidemic intelligence in IDSR?,The epidemic intelligence in IDSR is based on two main event detection systems: indicator-based surveillance (immediate and weekly reporting) and event-based surveillance (organized collection and assessment of mainly unstructured ad hoc information).,TG Booklet 5,113,"Epidemic Intelligence, IDSR, Event Detection Systems, Indicator-based Surveillance, Event-based Surveillance"
Q768,Who should be reported in response to the Chikungunya alert threshold?,Suspected Chikungunya cases should be reported immediately to the next level of the health system.,TG Booklet 6,155,Chikungunya Alert Threshold: Reporting Requirements
Q807,"Who should be responsible for reporting case-based information immediately when Chikungunya cases are suspected, and why is it necessary?","Health facilities should report case-based information immediately. It is necessary to facilitate timely response, investigation, and management of Chikungunya cases.",TG Booklet 6,155,Responsibility For Reporting Chikungunya Cases
Q745,Why is antibiotic prophylaxis not recommended during epidemics in the meningitis belt?,"Antibiotic prophylaxis is not recommended during epidemics in the meningitis belt because it is not considered an effective measure, and the focus is on reactive mass vaccination campaigns to control outbreaks.",TG Booklet 6,143,"Antibiotic Prophylaxis: Meningitis Belt, Epidemic Response"
Q572,Is there a Community alert reporting form available in the TG?,"Yes, Page 264 of TG Booklet 6 Section 11",TG Booklet 6,86,"TG, Community Alert Reporting Form, Page 264, Booklet 6, Section 11"
Q663,What references are available for infection control and surveillance of viral haemorrhagic fevers?,"References include guidelines for infection control, surveillance standards, and recommendations from WHO.",TG Booklet 6,123,"References Include Guidelines For Infection Control, Surveillance Standards, And Recommendations From WHO."
Q1096,"When was the Disaster Risk Management (DRM) strategy for the health sector adopted by African region member states, including Malawi?",The DRM strategy for the health sector in the African Region was adopted in 2012.,TG Booklet 1,155,"DRM, Health Sector, African Region, 2012"
Q670,Why is caution necessary when using Rapid Diagnostic Tests (RDTs) for VHDs?,"RDTs may yield false results, and PCR confirmation is recommended to avoid inaccuracies.",TG Booklet 6,123,"Rdts May Yield False Results, And PCR Confirmation Is Recommended To Avoid Inaccuracies."
Q424,"Where can the national level find the decision instrument for determining whether an event is a potential PHEIC, and why is it important to refer to this instrument?","The decision instrument can be found at http://www.who.int/ihr/revised_annex2A_guidance.pdf. Referring to this instrument is crucial for making an informed decision on whether the event qualifies as a potential PHEIC, warranting notification under the International Health Regulations (IHR).",TG Booklet 3,387,"Decision Instrument, Potential PHEIC, WHO, International Health Regulations (IHR), Informed Decision, Notification"
